id,created_at,name,colors
0c70d669-9c07-4935-a9b4-22551dd2beb5,2026-02-07 20:40:19.389927+00,Bullet Train,"{""brand"":""#ff2d9e"",""border"":""#2c2c36"",""bg_dark"":""#0b0b12"",""brand_2"":""rgba(0, 234, 255, 0.35)"",""brand_3"":""rgba(255, 105, 180, 0.25)"",""surface"":""#14141a"",""accent_1"":""#5efbd3"",""accent_2"":""#a88bfa"",""glass_bg"":""rgba(14, 14, 24, 0.6)"",""nav_title"":""#f7f5ff"",""text_main"":""#f8faff"",""bg_overlay"":""linear-gradient(to bottom, rgba(9,9,11,0.15), rgba(9,9,11,0.60) 50%, rgba(9,9,11,0.9) 100%)"",""focus_ring"":""rgba(255, 63, 189, 0.6)"",""nav_accent"":""#ff3fbd"",""text_muted"":""#c9cbd4"",""brand_hover"":""#ff3fba"",""brand_light"":""rgba(255, 2, 190, 0.12)"",""brand_shadow"":""rgba(255, 20, 150, 0.35)"",""glass_border"":""rgba(255, 255, 255, 0.05)"",""glass_shadow"":""rgba(0, 0, 0, 0.4)"",""nav_active_a"":""rgba(255, 63, 189, 0.28)"",""nav_active_b"":""rgba(139, 92, 246, 0.22)"",""btn_outline_bg"":""rgba(12, 12, 20, 0.65)""}"
0fd83431-614f-4178-984a-16885a6f3f0d,2026-02-08 00:22:05.662375+00,Original,"{""brand"":""#14b8a6"",""border"":""#27272a"",""bg_dark"":""#09090b"",""brand_2"":""rgba(168, 85, 247, 0.35)"",""brand_3"":""rgba(59, 130, 246, 0.35)"",""surface"":""#18181b"",""accent_1"":""#5eead4"",""accent_2"":""#a78bfa"",""glass_bg"":""rgba(24, 24, 27, 0.6)"",""nav_title"":""#fdfbf8"",""text_main"":""#e4e4e7"",""bg_overlay"":""linear-gradient(to bottom, rgba(9, 9, 11, 0.1), rgba(9, 9, 11, 0.55) 50%, rgba(9, 9, 11, 0.9) 100%)"",""focus_ring"":""rgba(20, 184, 166, 0.6)"",""nav_accent"":""#74c6cd"",""text_muted"":""#a1a1aa"",""brand_hover"":""#0d9488"",""brand_light"":""rgba(20, 184, 166, 0.1)"",""brand_shadow"":""rgba(20, 184, 166, 0.3)"",""glass_border"":""rgba(255, 255, 255, 0.05)"",""glass_shadow"":""rgba(0, 0, 0, 0.35)"",""nav_active_a"":""rgba(20, 184, 166, 0.28)"",""nav_active_b"":""rgba(168, 85, 247, 0.22)"",""btn_outline_bg"":""rgba(24, 24, 27, 0.65)""}"
1f7fdab6-a98b-4956-869d-5449cc354c01,2026-02-07 04:09:35.103501+00,The Dark Side,"{""brand"":""#8b0000"",""border"":""#2a0f13"",""bg_dark"":""#06060a"",""brand_2"":""rgba(139, 0, 0, 0.35)"",""brand_3"":""rgba(128, 0, 0, 0.35)"",""surface"":""#1a0d12"",""accent_1"":""#9b111e"",""accent_2"":""#620000"",""glass_bg"":""rgba(6,0,0,0.60)"",""nav_title"":""#f6f3f0"",""text_main"":""#f2f0f0"",""bg_overlay"":""linear-gradient(to bottom, rgba(9,0,0,0.15), rgba(9,0,0,0.55) 50%, rgba(9,0,0,0.9) 100%)"",""focus_ring"":""rgba(139,0,0,0.8)"",""nav_accent"":""#c21f1f"",""text_muted"":""#b9a6a6"",""brand_hover"":""#5a0000"",""brand_light"":""rgba(139,0,0,0.12)"",""brand_shadow"":""rgba(139,0,0,0.4)"",""glass_border"":""rgba(255,255,255,0.06)"",""glass_shadow"":""rgba(0,0,0,0.45)"",""nav_active_a"":""rgba(139,0,0,0.28)"",""nav_active_b"":""rgba(128,0,0,0.22)"",""btn_outline_bg"":""rgba(8,0,0,0.65)""}"
22f2c2fc-57c7-46ce-82c8-4f2d1c75c487,2026-02-07 20:23:09.675064+00,Grand Budapest Hotel,"{""brand"":""#f073a9"",""border"":""#2a232d"",""bg_dark"":""#0b0b12"",""brand_2"":""rgba(159, 112, 150, 0.35)"",""brand_3"":""rgba(214, 168, 110, 0.35)"",""surface"":""#1b141f"",""accent_1"":""#ffd6e0"",""accent_2"":""#fff0c8"",""glass_bg"":""rgba(25, 18, 26, 0.65)"",""nav_title"":""#f7f1f7"",""text_main"":""#f7f0f5"",""bg_overlay"":""linear-gradient(to bottom, rgba(0,0,0,0.2), rgba(0,0,0,0.6) 60%, rgba(0,0,0,0.9) 100%)"",""focus_ring"":""rgba(240, 115, 167, 0.65)"",""nav_accent"":""#f6a0b9"",""text_muted"":""#c6b3be"",""brand_hover"":""#e05b8c"",""brand_light"":""rgba(240, 115, 167, 0.12)"",""brand_shadow"":""rgba(240, 115, 167, 0.25)"",""glass_border"":""rgba(255, 255, 255, 0.08)"",""glass_shadow"":""rgba(0, 0, 0, 0.4)"",""nav_active_a"":""rgba(240, 115, 167, 0.28)"",""nav_active_b"":""rgba(186, 174, 184, 0.22)"",""btn_outline_bg"":""rgba(24, 24, 28, 0.75)""}"
4b007623-e7d9-4e80-ade2-a70ec9498acf,2026-02-07 22:13:50.149636+00,Transformers,"{""brand"":""#e11d48"",""border"":""#2a2f3a"",""bg_dark"":""#0a0b10"",""brand_2"":""#f2c84d"",""brand_3"":""#3b82f6"",""surface"":""#141923"",""accent_1"":""#5eead4"",""accent_2"":""#c084fc"",""glass_bg"":""rgba(10, 10, 16, 0.6)"",""nav_title"":""#f8fbff"",""text_main"":""#f0f2f7"",""bg_overlay"":""linear-gradient(to bottom, rgba(2,3,6,0.25), rgba(2,3,6,0.6) 50%, rgba(2,3,6,0.9) 100%)"",""focus_ring"":""rgba(225, 29, 72, 0.75)"",""nav_accent"":""#56ccf2"",""text_muted"":""#a3aab9"",""brand_hover"":""#b8153b"",""brand_light"":""rgba(225, 29, 72, 0.12)"",""brand_shadow"":""rgba(225, 29, 72, 0.38)"",""glass_border"":""rgba(255, 255, 255, 0.08)"",""glass_shadow"":""rgba(0, 0, 0, 0.5)"",""nav_active_a"":""rgba(225, 29, 72, 0.28)"",""nav_active_b"":""rgba(59, 130, 246, 0.22)"",""btn_outline_bg"":""rgba(12,12,18,0.65)""}"
82ccadef-039f-4822-b363-f928fb0ff6e1,2026-02-07 20:19:15.948615+00,Inglorious Basterds,"{""brand"":""#8b0000"",""border"":""#2a2f36"",""bg_dark"":""#0b0f17"",""brand_2"":""rgba(210, 38, 38, 0.25)"",""brand_3"":""rgba(255, 60, 60, 0.25)"",""surface"":""#1a1f28"",""accent_1"":""#d05656"",""accent_2"":""rgba(112, 28, 28, 0.28)"",""glass_bg"":""rgba(18, 18, 25, 0.6)"",""nav_title"":""#fefefe"",""text_main"":""#e8e8f0"",""bg_overlay"":""linear-gradient(to bottom, rgba(8,8,12,0.25), rgba(8,8,12,0.6) 60%, rgba(8,8,12,0.92) 100%)"",""focus_ring"":""rgba(168, 0, 0, 0.6)"",""nav_accent"":""#d11f1f"",""text_muted"":""#a6a6b3"",""brand_hover"":""#b00000"",""brand_light"":""rgba(139, 0, 0, 0.12)"",""brand_shadow"":""rgba(139, 0, 0, 0.45)"",""glass_border"":""rgba(255, 255, 255, 0.08)"",""glass_shadow"":""rgba(0, 0, 0, 0.4)"",""nav_active_a"":""rgba(139, 0, 0, 0.28)"",""nav_active_b"":""rgba(210, 28, 28, 0.22)"",""btn_outline_bg"":""rgba(12,12,14,0.65)""}"
b9b9cad9-5e7d-4f24-b43e-8ea277ec8777,2026-02-07 20:10:01.417349+00,Gryffindor,"{""brand"":""#9b1b1b"",""border"":""#2a1a1d"",""bg_dark"":""#0b0b0f"",""brand_2"":""rgba(212, 175, 65, 0.32)"",""brand_3"":""rgba(139, 69, 19, 0.35)"",""surface"":""#1b0f12"",""accent_1"":""#d4a86a"",""accent_2"":""#a7802a"",""glass_bg"":""rgba(18,6,6,0.68)"",""nav_title"":""#f3efe9"",""text_main"":""#f8efe8"",""bg_overlay"":""linear-gradient(to bottom, rgba(11,7,9,0.20), rgba(25,9,9,0.55) 50%, rgba(8,6,6,0.90) 100%)"",""focus_ring"":""rgba(212, 175, 65, 0.6)"",""nav_accent"":""#d21c2f"",""text_muted"":""#cab6a0"",""brand_hover"":""#c1242a"",""brand_light"":""rgba(155, 27, 27, 0.12)"",""brand_shadow"":""rgba(139, 0, 0, 0.55)"",""glass_border"":""rgba(255, 214, 0, 0.08)"",""glass_shadow"":""rgba(0,0,0,0.35)"",""nav_active_a"":""rgba(155, 18, 18, 0.28)"",""nav_active_b"":""rgba(212, 175, 65, 0.22)"",""btn_outline_bg"":""rgba(16, 6, 6, 0.65)""}"
cfc8a566-097e-4908-bba9-5c9bf6228433,2026-02-07 05:33:37.399892+00,Dune,"{""brand"":""#c59a38"",""border"":""#2a1f14"",""bg_dark"":""#0b0a07"",""brand_2"":""rgba(212, 168, 63, 0.35)"",""brand_3"":""rgba(234, 180, 86, 0.35)"",""surface"":""#1b1410"",""accent_1"":""#e0c08a"",""accent_2"":""#c8a56a"",""glass_bg"":""rgba(14, 9, 6, 0.6)"",""nav_title"":""#f3ede2"",""text_main"":""#f0e5d5"",""bg_overlay"":""linear-gradient(to bottom, rgba(11,8,6,0.25), rgba(11,8,6,0.55) 50%, rgba(11,8,6,0.9) 100%)"",""focus_ring"":""rgba(212, 149, 40, 0.6)"",""nav_accent"":""#d4a84a"",""text_muted"":""#c9b29a"",""brand_hover"":""#a87a1e"",""brand_light"":""rgba(196, 149, 40, 0.12)"",""brand_shadow"":""rgba(196, 149, 40, 0.38)"",""glass_border"":""rgba(255, 255, 255, 0.07)"",""glass_shadow"":""rgba(0, 0, 0, 0.5)"",""nav_active_a"":""rgba(196, 149, 40, 0.28)"",""nav_active_b"":""rgba(212, 168, 63, 0.22)"",""btn_outline_bg"":""rgba(18, 12, 7, 0.65)""}"
d723f1c2-b32b-4e27-9bb4-d3bd5c634e66,2026-02-07 20:27:48.790295+00,F1,"{""brand"":""#14b8a6"",""border"":""#2a2f36"",""bg_dark"":""#0a0b10"",""brand_2"":""rgba(30, 140, 160, 0.25)"",""brand_3"":""rgba(90, 110, 180, 0.35)"",""surface"":""#14161b"",""accent_1"":""#4bd9d8"",""accent_2"":""#cbd7e6"",""glass_bg"":""rgba(9, 9, 12, 0.65)"",""nav_title"":""#f6f8fb"",""text_main"":""#eef3f7"",""bg_overlay"":""linear-gradient(to bottom, rgba(6, 7, 9, 0.15), rgba(6, 7, 9, 0.50) 50%, rgba(6, 7, 9, 0.85) 100%)"",""focus_ring"":""rgba(20, 184, 166, 0.6)"",""nav_accent"":""#7bd3d6"",""text_muted"":""#a4acba"",""brand_hover"":""#0f9a8a"",""brand_light"":""rgba(20, 184, 166, 0.12)"",""brand_shadow"":""rgba(20, 184, 166, 0.4)"",""glass_border"":""rgba(255, 255, 255, 0.07)"",""glass_shadow"":""rgba(0, 0, 0, 0.45)"",""nav_active_a"":""rgba(20,184,166,0.28)"",""nav_active_b"":""rgba(90,110,180,0.22)"",""btn_outline_bg"":""rgba(12, 12, 15, 0.65)""}"
df02303b-8d48-4dd4-bf1f-0f452744c6dd,2026-02-07 20:44:24.591459+00,Top Gun,"{""brand"":""#2bd4c3"",""border"":""#2a2f3a"",""bg_dark"":""#0b0f14"",""brand_2"":""#9b5de5"",""brand_3"":""#f472b6"",""surface"":""#1a1f2b"",""accent_1"":""#6bdcce"",""accent_2"":""#b29cff"",""glass_bg"":""rgba(10, 12, 22, 0.6)"",""nav_title"":""#f6f7fb"",""text_main"":""#e9f0ff"",""bg_overlay"":""linear-gradient(to bottom, rgba(8,12,22,0.25), rgba(8,12,22,0.55) 60%, rgba(8,12,22,0.85) 100%)"",""focus_ring"":""rgba(43, 212, 199, 0.8)"",""nav_accent"":""#35d0c9"",""text_muted"":""#a6afbd"",""brand_hover"":""#0fb6a2"",""brand_light"":""rgba(43, 212, 199, 0.12)"",""brand_shadow"":""rgba(43, 212, 199, 0.5)"",""glass_border"":""rgba(255, 255, 255, 0.08)"",""glass_shadow"":""rgba(0, 0, 0, 0.4)"",""nav_active_a"":""rgba(43, 212, 199, 0.28)"",""nav_active_b"":""rgba(157, 114, 247, 0.22)"",""btn_outline_bg"":""rgba(16, 16, 22, 0.75)""}"
