id,created_at,name,description,icon_url,tier,points,is_active,type,rule
0445c3be-e7eb-4818-8dc0-a8d78e8b34ce,2026-02-14 19:13:10.958842+00,Timeless Classic,Rewatch the same movie 25 times.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Timeless%20Classic.png,Ruby,1600,true,Rewatches,"{""type"":""rewatch_count"",""threshold"":25,""source"":""watch_logs""}"
1a99a743-9c3c-43ac-91bd-308c4e56472b,2026-02-14 19:13:10.958842+00,Comfort Classic,Rewatch the same movie 3 times.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Comfort%20Classic.png,Silver,150,true,Rewatches,"{""type"":""rewatch_count"",""threshold"":3,""source"":""watch_logs""}"
1cf2f097-7f9f-489a-abe5-37c6dc8ec3c0,2026-02-14 19:13:10.958842+00,Endurance Champion,Maintain a 365-day rating streak.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Endurance%20Champion.png,Ruby,2000,true,Streaks,"{""type"":""daily_streak"",""threshold"":365,""source"":""watch_logs""}"
1cf58e48-939f-426f-9e5d-bd88c0a251db,2026-02-14 19:13:10.958842+00,Director Scholar,Rate 12 movies by the same director.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Director%20Scholar.png,Diamond,1000,true,Director Loyalty,"{""type"":""director_count"",""threshold"":12,""source"":""ratings""}"
1e29ad24-449b-4977-b4f9-766b7ab27912,2026-02-14 19:13:10.958842+00,Genre Completionist,Rate movies from 16 different genres.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Genre%20Completionist.png,Ruby,1500,true,Genre Diversity,"{""type"":""genre_count"",""threshold"":16,""source"":""ratings""}"
247ba73f-6866-48b8-b329-b306b015b154,2026-02-14 19:13:10.958842+00,Film Buff,Rate 50 movies.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Film%20Buff.png,Silver,50,true,Movies Watched,"{""type"":""rating_count"",""threshold"":50,""source"":""ratings""}"
2dba547e-fbec-49d6-b666-a1341bfc8fb7,2026-02-14 19:13:10.958842+00,Genre Hopper,Rate movies from 6 different genres.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Genre%20Hopper.png,Silver,150,true,Genre Diversity,"{""type"":""genre_count"",""threshold"":6,""source"":""ratings""}"
3d366366-8f70-4766-a08e-418534e1703a,2026-02-14 19:13:10.958842+00,Time Traveler,Rate movies from 3 different decades.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Time%20Traveler.png,Bronze,100,true,Era Decade Spread,"{""type"":""decade_count"",""threshold"":3,""source"":""ratings""}"
3f19d91b-2788-48b5-afbb-5910a62ffc93,2026-02-14 19:13:10.958842+00,Opening Weekend,Rate 5 movies in a single day.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Opening%20Weekend.png,Silver,250,true,Streaks,"{""type"":""daily_count"",""threshold"":5,""source"":""watch_logs""}"
3f539b36-4fe8-4288-a985-fd3a6ea7b33d,2026-02-14 19:13:10.958842+00,Genre Explorer,Rate movies from 4 different genres.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Genre%20Explorer.png,Bronze,50,true,Genre Diversity,"{""type"":""genre_count"",""threshold"":4,""source"":""ratings""}"
41b6cd21-712f-47c0-9182-4e6b1e0f0c2f,2026-02-14 19:13:10.958842+00,Marathon Critic,Rate 10 movies in one week.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Marathon%20Critic.png,Gold,450,true,Streaks,"{""type"":""rolling_week_count"",""threshold"":10,""source"":""watch_logs""}"
421f65ba-cd66-414b-b0a7-3e814cbf074b,2026-02-14 19:13:10.958842+00,First Screening,Rate 10 movies.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/First%20Screening.png,Bronze,10,true,Movies Watched,"{""type"":""rating_count"",""threshold"":10,""source"":""ratings""}"
4ab05ddd-5b31-4da8-bf42-f3748996d759,2026-02-14 19:13:10.958842+00,Screen Authority,Rate 1000 movies.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Screen%20Authority.png,Diamond,1000,true,Movies Watched,"{""type"":""rating_count"",""threshold"":1000,""source"":""ratings""}"
52a935d3-79c1-449d-88e8-941ee721f161,2026-02-14 19:13:10.958842+00,Year-Long Viewer,Rate at least 1 movie per week for a full year.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Year-Long%20Viewer.png,Emerald,1400,true,Streaks,"{""type"":""weekly_streak"",""threshold"":52,""source"":""watch_logs""}"
53fc53e8-19d4-4128-b481-477e87eeb2eb,2026-02-14 19:13:10.958842+00,Timeline Master,Rate movies from 14 different decades.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Timeline%20Master.png,Ruby,1700,true,Era Decade Spread,"{""type"":""decade_count"",""threshold"":14,""source"":""ratings""}"
5719a5be-7c91-447e-bfa4-496dee08f472,2026-02-14 19:13:10.958842+00,Decade Explorer,Rate movies from 5 different decades.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Decade%20Explorer.png,Silver,250,true,Era Decade Spread,"{""type"":""decade_count"",""threshold"":5,""source"":""ratings""}"
57865406-9f1b-4993-abdb-82f5ec85bc62,2026-02-14 19:13:10.958842+00,Century Wanderer,Rate movies from 11 different decades.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Century%20Wanderer.png,Diamond,1000,true,Era Decade Spread,"{""type"":""decade_count"",""threshold"":11,""source"":""ratings""}"
5cddc2ba-fe67-473b-b16f-0650ad478077,2026-02-14 19:13:10.958842+00,Festival Run,Rate at least 1 movie per day for 7 days.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Festival%20Run.png,Platinum,700,true,Streaks,"{""type"":""daily_streak"",""threshold"":7,""source"":""watch_logs""}"
5eda9545-28cc-4f69-929c-6342739c680d,2026-02-14 19:13:10.958842+00,Director Loyalist,Rate 6 movies by the same director.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Director%20Loyalist.png,Silver,250,true,Director Loyalty,"{""type"":""director_count"",""threshold"":6,""source"":""ratings""}"
6090f188-2812-4d6c-8804-b679dfc9f680,2026-02-14 19:13:10.958842+00,Encore,Rewatch the same movie 2 times.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Encore.png,Bronze,75,true,Rewatches,"{""type"":""rewatch_count"",""threshold"":2,""source"":""watch_logs""}"
676e817c-62d5-40a2-975d-09b64323e2f2,2026-02-14 19:13:10.958842+00,Director Master,Rate 20 movies by the same director.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Director%20Master.png,Ruby,1700,true,Director Loyalty,"{""type"":""director_count"",""threshold"":20,""source"":""ratings""}"
6cad3d15-d1ac-4521-9217-d949863a1a45,2026-02-14 19:13:10.958842+00,Devoted Fan,Rewatch the same movie 10 times.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Devoted%20Fan.png,Diamond,750,true,Rewatches,"{""type"":""rewatch_count"",""threshold"":10,""source"":""watch_logs""}"
6fd091ef-ffab-4097-94c1-1e69789bcf03,2026-02-14 19:13:10.958842+00,Historical Archivist,Rate movies from 13 different decades.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Historical%20Archivist.png,Emerald,1300,true,Era Decade Spread,"{""type"":""decade_count"",""threshold"":13,""source"":""ratings""}"
7ee51ff5-0778-41a6-81da-60c0d5c6ece3,2026-02-14 19:13:10.958842+00,Premiere Season,Rate at least 1 movie per day for 30 days.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Premiere%20Season.png,Diamond,1000,true,Streaks,"{""type"":""daily_streak"",""threshold"":30,""source"":""watch_logs""}"
80e46936-2b39-410f-8200-a74317158b4c,2026-02-14 19:13:10.958842+00,Genre Authority,Rate movies from 12 different genres.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Genre%20Authority.png,Diamond,900,true,Genre Diversity,"{""type"":""genre_count"",""threshold"":12,""source"":""ratings""}"
9e92dc16-bd10-48ae-a2d6-e73a5e1cb104,2026-02-14 19:13:10.958842+00,Genre Virtuoso,Rate movies from 14 different genres.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Genre%20Virtuoso.png,Emerald,1200,true,Genre Diversity,"{""type"":""genre_count"",""threshold"":14,""source"":""ratings""}"
9ebdf3c0-4cbf-4399-a3f9-201012e5253f,2026-02-14 19:13:10.958842+00,Era Enthusiast,Rate movies from 7 different decades.,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Achievement%20Icons/Era%20Enthusiast.png,Gold,450,true,Era Decade Spread,"{""type"":""decade_count"",""threshold"":7,""source"":""ratings""}"
